retailer,name,address,region,postal_code,latitude,longitude,maps_url,is_active,fase,casa_loy_blanco,casa_loy_reposado,casa_loy_cristalino,casa_loy_anejo,casa_loy_piedra_y_agave_blanco,taddel_plata,taddel_reposado,taddel_cristalino,tierra_zafiro_blanco,tierra_zafiro_blanco_100_pure,tierra_zafiro_reposado,tierra_zafiro_cristalino,creado_en,casa_loy_piedra_y_agave_reposado,pdv,cdc,cl,td,tz
La Tahona,Gonzalez Gallo,"Calz. Jesús González Gallo 595, San Carlos, 44460 Guadalajara, Jal.",mx,44460,20.6534464,-103.3384448,https://maps.app.goo.gl/hjPpHwV5CLHQTyFm6,true,Isaac Gomez,,,,,,,,,,,,,,,false,true,false,,,
La Tahona,Villas,"Camino del Seminario, C. 5 de Mayo esq, 45887 Puente Grande, Jal.",mx,45887,20.5689331,-103.1437908,https://maps.app.goo.gl/ocaEvA3Uhk6EBcje6,true,Isaac Gomez,,,,,,,,,,,,,,,false,true,false,,,
La Tahona,El Roble,"Carr. a Los Altos 94B, Los Puestos, 45638 San Pedro Tlaquepaque, Jal.",mx,45638,20.6088044,-103.2696313,https://maps.app.goo.gl/ezzaxyVkg5K3psqg9,true,Isaac Gomez,,,,,,,,,,,,,,,false,true,false,,,
La Tahona,Tototlan,"Carretera Tototlón - Ocotlán 175 A San Ignacio, Los Cerritos, 47730 San Ignacio, Jal.",mx,47730,20.4826091,-102.7649054,https://maps.app.goo.gl/B3Se7hp2LwWRsEnY9,true,Isaac Gomez,,,,,,,,,,,,,,,false,true,false,,,
La Tahona,Loma Dorada,"Loma Fría Sur 7896, Loma Dorada (Ejidal), 45402 Tonalá, Jal.",mx,45402,20.6283984,-103.2656707,https://maps.app.goo.gl/ft2JU4SA3gb6qvtw6,true,Isaac Gomez,,,,,,,,,,,,,,,false,true,false,,,
La Tahona,Autlan,"Unión de Tula - Autlan de Navarro 1973, Sin Nombre, 48902 Autlón de Navarro, Jal.",mx,48902,19.7833726,-104.3573166,https://maps.app.goo.gl/q1U4jijwHo7rGpdJA,true,Isaac Gomez,,,,,,,,,,,,,,,false,true,false,,,
Las Palmas,Centro,"Gobernador Medina Ascencio 483, Centro, 47180 Arandas, Jal.",mx,47180,20.7053982,-102.3573143,https://maps.app.goo.gl/tzAteK61HZ1YVzjj9,true,Isaac Gomez,,,,,,,,,,,,,,,false,true,false,,,
Las Palmas,Matriz,"C. Morelos 489 Centro 47183 Arandas, Jal.",mx,47183,20.7061524,-102.3347324,https://maps.app.goo.gl/i4XAAcGtJnZq5bvq6,true,Isaac Gomez,,,,,,,,,,,,,,,false,true,false,,,
LICORERIA 2-3,,"Gonzólez Gallo 52, Centro, 47930 Ayotlón, Jal.",mx,47930,20.527564,-102.3327795,https://maps.app.goo.gl/ncEQ1hfxPzMMyKq98,true,Julio Delgado,true,true,true,true,true,false,false,false,false,false,false,true,,false,true,false,,,
LICORERIA ALBA ROMERO,,"Av. Independencia Poniente 199, La Alameda, 47750 Atotonilco el Alto, Jal.",mx,47750,20.5475583,-102.511106,https://maps.app.goo.gl/D5NAswQJ7hwqZeVU6,true,Julio Delgado,true,true,true,true,true,false,false,true,true,false,true,true,,false,true,false,,,
LICORERIA DOS HERMANOS,,"Gonzólez Gallo s/n, 47930 Ayotlón, Jal.",mx,47930,20.5230558,-102.3269297,https://maps.app.goo.gl/3yNsiJt8yLY4jZYd8,true,Julio Delgado,true,true,true,true,true,true,true,false,true,false,true,true,,false,true,false,,,
LICORERIA HURTADO,,"47930, Calle Vicente Guerrero 46, Centro, Ayotlón, Jal.",mx,47930,20.5272925,-102.3344334,https://maps.app.goo.gl/QBuKbTJTs18iN3ky6,true,Julio Delgado,true,true,true,false,false,false,false,false,true,false,true,true,,false,true,false,,,
